date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
01/06/2018,Y60,MIDLANDS COMMISSIONING REGION,231612,1004519.66,0,0
01/07/2018,Y56,LONDON COMMISSIONING REGION,127274,439658.09,0,0
01/07/2018,Y58,SOUTH WEST COMMISSIONING REGION,147099,398241.73,0,0
01/07/2018,Y61,EAST OF ENGLAND COMMISSIONING REGION,154946,546431.12,0,0
01/07/2018,Y62,NORTH WEST COMMISSIONING REGION,177186,702228.98,0,0
01/07/2018,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,179048,757849.22,0,0
01/07/2018,Y59,SOUTH EAST COMMISSIONING REGION,182596,685240.08,0,0
01/07/2018,Y60,MIDLANDS COMMISSIONING REGION,232364,1004298.32,0,0
01/08/2018,Y56,LONDON COMMISSIONING REGION,129744,441897.37,0,0
01/08/2018,Y58,SOUTH WEST COMMISSIONING REGION,151602,410430.69,0,0
01/08/2018,Y61,EAST OF ENGLAND COMMISSIONING REGION,161479,570835.72,0,0
01/08/2018,Y62,NORTH WEST COMMISSIONING REGION,185462,752243.82,0,0
01/08/2018,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,186306,778893.66,0,0
01/08/2018,Y59,SOUTH EAST COMMISSIONING REGION,188246,698834.66,0,0
01/08/2018,Y60,MIDLANDS COMMISSIONING REGION,241994,1020590.09,0,0
01/09/2018,Y56,LONDON COMMISSIONING REGION,121901,425839.11,0,0
01/09/2018,Y58,SOUTH WEST COMMISSIONING REGION,143108,396528.16,0,0
01/09/2018,Y61,EAST OF ENGLAND COMMISSIONING REGION,152060,553038.55,0,0
01/09/2018,Y62,NORTH WEST COMMISSIONING REGION,169179,705497.03,0,0
01/09/2018,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,172562,764770.94,0,0
01/09/2018,Y59,SOUTH EAST COMMISSIONING REGION,176630,701833.77,0,0
01/09/2018,Y60,MIDLANDS COMMISSIONING REGION,226121,1002266.86,0,0
01/10/2018,Y56,LONDON COMMISSIONING REGION,134344,466391.19,0,0
01/10/2018,Y58,SOUTH WEST COMMISSIONING REGION,154036,437564.59,0,0
01/10/2018,Y61,EAST OF ENGLAND COMMISSIONING REGION,163732,593331.2,0,0
01/10/2018,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,186524,806693.26,0,0
01/10/2018,Y62,NORTH WEST COMMISSIONING REGION,187501,766063.06,0,0
01/10/2018,Y59,SOUTH EAST COMMISSIONING REGION,192166,731685.76,0,0
01/10/2018,Y60,MIDLANDS COMMISSIONING REGION,246211,1068786.87,0,0
01/11/2018,Y56,LONDON COMMISSIONING REGION,129007,452600.29,0,0
01/11/2018,Y58,SOUTH WEST COMMISSIONING REGION,149899,417388.96,0,0
01/11/2018,Y61,EAST OF ENGLAND COMMISSIONING REGION,157994,579609.85,0,0
